City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,palembang,-2.9167,104.7458,29.05,84,75,1.54,ID,2024-04-09 03:09:58
1,yekaterinburg,56.8575,60.6125,2.77,93,100,5.0,RU,2024-04-09 03:07:56
2,badger,64.8,-147.5333,2.14,66,75,5.66,US,2024-04-09 03:09:58
3,qaqortoq,60.7167,-46.0333,-4.87,89,100,2.07,GL,2024-04-09 03:09:58
4,port mathurin,-19.6833,63.4167,26.67,78,59,3.24,MU,2024-04-09 03:09:58
5,isafjordur,66.0755,-23.124,-4.52,89,100,6.98,IS,2024-04-09 03:05:20
6,port-aux-francais,-49.35,70.2167,8.14,87,100,16.47,TF,2024-04-09 03:09:58
7,albany,42.6001,-73.9662,11.07,63,78,1.34,US,2024-04-09 03:06:25
8,el calafate,-50.3408,-72.2768,2.12,72,14,3.6,AR,2024-04-09 03:07:14
9,baharly,38.4362,57.4316,16.52,61,63,3.07,TM,2024-04-09 03:09:59
10,atafu village,-8.5421,-172.5159,30.09,74,21,5.06,TK,2024-04-09 03:09:59
11,suzhou,31.3114,120.6181,20.15,44,16,2.48,CN,2024-04-09 03:09:59
12,vilhena,-12.7406,-60.1458,21.72,99,91,1.38,BR,2024-04-09 03:07:35
13,dudinka,69.4058,86.1778,-12.4,94,99,5.81,RU,2024-04-09 03:09:59
14,yellowknife,62.456,-114.3525,-3.1,98,67,0.46,CA,2024-04-09 03:10:00
15,hermanus,-34.4187,19.2345,12.67,84,38,1.23,ZA,2024-04-09 03:10:00
16,nova sintra,14.8667,-24.7167,22.6,74,0,9.95,CV,2024-04-09 03:10:00
17,adamstown,-25.066,-130.1015,23.84,72,93,4.02,PN,2024-04-09 03:05:02
18,sitka,57.0531,-135.33,5.94,70,75,2.57,US,2024-04-09 03:06:42
19,aasiaat,68.7098,-52.8699,-14.24,98,89,2.62,GL,2024-04-09 03:10:00
20,mansa,29.9833,75.3833,27.6,11,100,2.52,IN,2024-04-09 03:10:00
21,kerikeri,-35.2268,173.9474,22.73,78,92,3.55,NZ,2024-04-09 03:10:00
22,berdigestyakh,62.0989,126.6992,-2.24,85,100,2.64,RU,2024-04-09 03:10:01
23,areia branca,-4.9561,-37.1369,26.86,86,100,4.99,BR,2024-04-09 03:10:01
24,west island,-12.1568,96.8225,28.99,74,40,6.69,CC,2024-04-09 03:10:01
25,winnemucca,40.973,-117.7357,4.03,60,0,3.09,US,2024-04-09 03:10:01
26,weno,7.4515,151.8468,31.97,74,40,5.66,FM,2024-04-09 03:10:01
27,edinburgh of the seven seas,-37.0676,-12.3116,18.88,91,100,12.88,SH,2024-04-09 03:10:01
28,tuyen quang,21.8233,105.2181,22.14,87,100,0.43,VN,2024-04-09 03:10:01
29,gaoyou,32.7858,119.4278,16.55,68,64,1.17,CN,2024-04-09 03:05:45
30,swords,53.4597,-6.2181,7.3,92,75,9.26,IE,2024-04-09 03:09:26
31,bredasdorp,-34.5322,20.0403,16.31,82,100,3.04,ZA,2024-04-09 03:10:02
32,abbeville,50.1,1.8333,9.98,80,77,8.77,FR,2024-04-09 03:10:02
33,udachny,66.4167,112.4,-5.31,70,100,9.88,RU,2024-04-09 03:10:02
34,dul'durga,50.6761,113.5931,9.49,44,100,4.02,RU,2024-04-09 03:10:02
35,ilulissat,69.2167,-51.1,-8.99,67,100,2.57,GL,2024-04-09 03:10:02
36,shambu,9.5667,37.1,13.14,59,43,0.63,ET,2024-04-09 03:10:02
37,keflavik,64.0049,-22.5624,1.24,69,0,9.77,IS,2024-04-09 03:10:02
38,lebu,-37.6167,-73.65,11.92,88,100,5.65,CL,2024-04-09 03:10:02
39,ushuaia,-54.8,-68.3,2.81,65,0,1.54,AR,2024-04-09 03:10:03
40,calama,-22.4667,-68.9333,13.76,43,10,2.49,CL,2024-04-09 03:10:03
41,pontremoli,44.3751,9.8789,16.75,62,100,0.46,IT,2024-04-09 03:10:03
42,mirny,62.5353,113.9611,-7.09,78,12,2.24,RU,2024-04-09 03:05:04
43,bethel,41.3712,-73.414,13.05,44,75,3.09,US,2024-04-09 03:10:03
44,jamestown,42.097,-79.2353,12.8,69,0,0.89,US,2024-04-09 03:10:03
45,arenapolis,-14.4503,-56.8461,22.74,95,94,1.73,BR,2024-04-09 03:10:03
46,belmonte,-15.8631,-38.8828,25.15,89,72,2.71,BR,2024-04-09 03:10:03
47,cradock,-32.1642,25.6192,12.96,65,13,1.73,ZA,2024-04-09 03:10:04
48,kodiak,57.79,-152.4072,0.73,47,100,6.17,US,2024-04-09 03:10:04
49,dalnegorsk,44.5604,135.5701,7.56,35,0,4.92,RU,2024-04-09 03:10:04
50,afaahiti,-17.75,-149.2833,28.93,83,95,5.14,PF,2024-04-09 03:10:04
51,mucumpiz,8.4167,-71.1333,13.47,89,100,1.81,VE,2024-04-09 03:10:04
52,rongelap,11.1635,166.8941,26.99,80,99,9.83,MH,2024-04-09 03:10:04
53,dara,15.3484,-15.4799,22.48,34,0,5.14,SN,2024-04-09 03:10:04
54,lagunas,-5.2269,-75.6753,23.36,99,100,1.26,PE,2024-04-09 03:10:05
55,papatowai,-46.5619,169.4708,17.5,63,100,3.84,NZ,2024-04-09 03:10:05
56,waitangi,-43.9535,-176.5597,15.46,80,79,3.58,NZ,2024-04-09 03:10:05
57,nago,26.5881,127.9761,23.24,74,100,7.18,JP,2024-04-09 03:10:05
58,saint-philippe,-21.3585,55.7679,22.77,79,58,1.77,RE,2024-04-09 03:10:05
59,port alfred,-33.5906,26.891,17.32,96,95,0.89,ZA,2024-04-09 03:10:05
60,bilibino,68.0546,166.4372,-9.25,72,86,1.64,RU,2024-04-09 03:10:05
61,taoudenni,22.6783,-3.9836,27.52,20,27,5.06,ML,2024-04-09 03:10:05
62,roma,43.2128,-75.4557,11.6,61,100,0.0,US,2024-04-09 03:10:06
63,invercargill,-46.4,168.35,19.5,61,100,4.77,NZ,2024-04-09 03:08:17
64,kotovo,50.3211,44.8012,10.9,78,12,2.74,RU,2024-04-09 03:10:06
65,olonkinbyen,70.9221,-8.7187,-3.88,64,88,7.31,SJ,2024-04-09 03:10:06
66,vorgashor,67.5833,63.95,-24.0,100,100,1.58,RU,2024-04-09 03:10:06
67,marsh harbour,26.5412,-77.0636,20.87,64,100,9.01,BS,2024-04-09 03:06:38
68,saipan,15.1355,145.701,31.39,1,40,6.69,MP,2024-04-09 03:10:06
69,iqaluit,63.7506,-68.5145,-14.61,71,99,6.71,CA,2024-04-09 03:10:06
70,bardai,11.65,7.2333,27.17,24,100,3.37,NG,2024-04-09 03:10:06
71,callao,-12.0667,-77.15,25.4,73,0,4.63,PE,2024-04-09 03:10:07
72,grytviken,-54.2811,-36.5092,1.46,96,100,2.87,GS,2024-04-09 03:10:07
73,tura,25.5198,90.2201,31.92,27,70,1.78,IN,2024-04-09 03:10:07
74,fort st. john,56.2499,-120.8529,6.31,56,100,3.67,CA,2024-04-09 03:07:09
75,sanctuary point,-35.1114,150.629,18.19,89,100,8.48,AU,2024-04-09 03:10:07
76,kolonia town,6.964,158.206,32.06,74,100,5.14,FM,2024-04-09 03:10:07
77,longyearbyen,78.2186,15.6401,-14.09,78,75,2.57,SJ,2024-04-09 03:06:48
78,thanh hoa,19.8,105.7667,22.15,89,100,2.74,VN,2024-04-09 03:09:26
79,thompson,55.7435,-97.8558,-0.26,97,42,1.05,CA,2024-04-09 03:10:07
80,klyuchi,52.2667,79.1667,11.51,75,100,5.56,RU,2024-04-09 03:10:07
81,constantia,44.1833,28.65,9.38,69,0,3.11,RO,2024-04-09 03:10:08
